name_of_sight,location,category,description,likes_count,location_url
Idanre Hills,Ondo,Nature,"About Idanre Hills  Idanre Hills, also known as Oke Idanre, is located in the quiet town of Idanre local government and paints the landscape with its beauty. It is a cultural, economic and lifestyle lodestone to its community. It has about 667 steps, including five resting points, which are set at about 100 meters apart from each other. You are welcome to climb if you dare.&nbsp;  Idanre hill is one of the most awesome and beautiful natural landscapes in Nigeria and its existence is surrounded by many myths and beliefs of its people. With different stories to be told about the hills, tourists should anticipate hearing and sighting the 9 wonders of Idanre: ""Ibi Akaso"" (The Steps), The King's Palace, Agboogun&rsquo;s Legacy, Unreadable signs, Agboogun's footprint, The wonderful mat, ""Omi Aopara"" (Aopara Water), The Orosun Hill and Arun river.&nbsp;  History of Idanre Hills  Reverend Gilbert Carter led the team of missionaries that discovered Idanre hills and introduced it to western civilization in 1894. Idanre people used to live high up on the hills, in an area which is now known as Old Oke-Idanre. History has it that the old Idanre people descended the hills and resettled at the present foothill location of Idanre town.  It is said that every street in the new Idanre town has a replica at the Old-Oke Idanre and every family has been allowed to retain ownership of their family houses at the Old enclave.&nbsp;  Security/Safety of Idanre Hills  This is a very safe location.  What To Bring  Before heading to Idanre Hills, here are some helpful things to take along with you:   climbing gear  shorts&nbsp;  slippers  first aid box   Things to do while at Idanre Hills  Visiting Idanre Hills probably gives you a lot of excitement. Here are things you can do there:   mountain climbing  take landscape pictures  Listening to tour guides give tales of the hills",102,https://hotels.ng/places/nature/26-idanre-hills
Nok Village,Kaduna,Cultural centre,"History of Nok Village  Nok Village.  Have you ever heard about Nok art? You have to live it to know it. No amount of literature can capture the culture that has been around for more than 2,500 years. If you are in the area, you should see the minaret - an elevation for sighting incoming enemies, now a prime tourist lodestone.  Nok is a small village located in Jaba, Kaduna (500km away from Abuja). &ldquo;Nok&rdquo; was given to the artworks because they were first discovered in that village. Archaeologists found out that the Nok arts were created during the Iron Age civilization. Its history dates back to the 2nd to 5th century of the Iron Age. Colonel Dent Young first discovered the famous Nok terracotta sculptures in Taruga, Kaduna, in 1928. The archaeologist, Bernard Fagg, later discovered more sculptures in 1940 and named them &ldquo;Nok&rdquo; because of the location where the sculptures were found.  &nbsp;It is a remarkable cultural site that gives you a view of history especially details of the Iron Age in Nigeria.&nbsp;  Security/Safety of Nok Village  This is a very safe location.",6,https://hotels.ng/places/cultural-centre/27-nok-village
Birikisu Sungbo Shrine,Ogun,Shrine,"About Birikisu Sungbo Shrine  In the bible, she is known as the Queen of Sheba. In Nigeria - and specifically in Ogun state- she is called Birikisu Sungbo, and there is a shrine dedicated to her. The same woman is the Queen Baliqs of Ethiopia in the Quran. It is believed that she will answer all your heart's desires if you ask nicely. The people of Ijebu Ode believe that she is a wealthy and industrious woman who trained other women to be industrious as well. She led a group of women potters in her day. Legend has it that she was a childless widow. She built a monument that was bigger than pyramids in 1000 A.D.  The Shrine is the burial place for Birikisu Sungbo and the people worship her there. Tourists visit the shrine to learn about the mysteries surrounding the shrine.&nbsp; It is believed that she possessed supernatural powers that enabled her to dig ditches around Ijebu Ode. Women are however not allowed to go close to her burial site.  The UNESCO World Heritage Site added this shrine to the cultural category in 1995.&nbsp;  &nbsp;  Security  It is safe to visit the shrine with tour guides and trusted locals.",0,https://hotels.ng/places/shrine/28-birikisu-sungbo-shrine
Cave of Giants,Enugu,Nature,"About:  The Cave of Giants is also known as the Ngwo cave. Cave of Giants is a deep dark cave in the recesses of Enugu. It has served as a site of tourism for locals and foreigners over the years. It is also a great location for ecological study.   Safety:  It is a safe location for sightseeing, tourism and ecological study.    Things to bring:       Shorts    Boots    Water bottle    Camera    &nbsp;        Best Time To Visit:    Anytime in the year",338,https://hotels.ng/places/nature/29-cave-of-giants
The Nigerian national museum,Lagos,Museum,"History of The Nigerian national museum  The Nigerian national museum was built in 1957to preserve Nigerian art. It is notable as The national museum where the bullet-ridden car of late General Murtala Muhammed can be seen.  It was built by Kenneth Murray in 1957.  Are you a lover of Nok culture, terracotta pieces and other famous Nigerian histories? The national museum is the ideal fun destination for that. It is home to Benin brasses, and of course, Late Murtala Muhammed's bullet-ridden car. It offers you the opportunity to give your ignorance in Nigerian history a short life span.  Security/Safety of The Nigerian national museum  This is a very safe location.   Ensure that bags or luggage's are not left unattended.   Things to do while at The Nigerian national museum  Before heading to The Nigerian national museum, here are some helpful things to take along with you:   visit the Nok art section  see the brass sculptures, royal crowns.   Best Features  It is home to Nigerian history  Most common visitors  Archaeologists, historians, art enthusiasts.",226,https://hotels.ng/places/museum/30-the-nigerian-national-museum
Okomu national park,Edo,Game reserve,"ABOUT    The Okomu National Park, formerly the Okomu Wildlife Sanctuary, is a forest block within the 1,082 km2 (418 sq mi) Okomu Forest Reserve in the Ovia South-West Local Government Area of Edo State in Nigeria. The park is about 60 km (37 mi) northwest of Benin City. The park holds a small fragment of the rich forest that once covered the region, and is the last habitat for many endangered species. It continues to shrink as villages encroach on it, and is now less than one-third of its original size. Powerful corporations are involved in plantation development and logging concessions around the park, which also pose a threat.    The park holds a remnant of the Nigerian lowland forests that once formed a continuous 50&ndash;100 km (31&ndash;62 mi) wide belt from the Niger River west to the Dahomey Gap in Benin. To the south and southeast, the forest was separated from the coast by mangrove and swamp forests, while to the north it merged into the Guinean Forest-Savanna Mosaic ecoregion. Human pressure is not new. In the Okomu park, there is an extensive layer of charcoal and pottery below the forest, indicating that it was cleared and then regenerated over the last 700 years. By the start of the 20th century, the forest survived only in disconnected blocks, which were under intense pressure from human activity.    SERVICES    There are no services rendered here as the national forest is not properly managed.   &nbsp;   BEST FEATURES    Okomu National park has a beautiful environment filled with all kinds of animals around the forest.   &nbsp;   BEST TIME TO VISIT    Okomu National park can be visited any time of the year.   &nbsp;   WHO CAN VISIT    Okomu National park can be visited by Tourist, Historian     SAFETY    Visitors must follow strict regulations to avoid degrading the environment. However, the park is threatened by large-scale illegal logging, the expansion of large rubber and oil-palm plantations nearby, and incursions by a growing human population involved in farming and hunting. Okomu National park is not safe at night as there are no security agents around the forest and one needs to be extremely careful.",202,https://hotels.ng/places/game-reserve/31-okomu-national-park
The National Theatre,Lagos,Hall,"History of The National Theatre  The National Theatre was built in 1976 as a focal point for the celebration of Nigerian art and culture. It is notable as The National (Arts) Theatre is the core location for performing arts in Nigeria. It was completed in 1976, just in time for the FESTAC event of 1977. The building houses the collection of the National Gallery of Modern Nigerian Art.  It was built by The Nigerian government in 1976 to promote Nigerian culture and arts. The National Theatre sits somberly, shaped like a military cap, awaiting those who would watch Nigeria's story, re-enacted on-stage, in the words and gesticulations and voices of its people.  Security/Safety of The National Theatre  This is a very safe location.  What To Bring  Before heading to The National Theatre, here are some helpful things to take along with you:   A camera - there are good sights to capture!   Best Features  It is a very nostalgic point for me. My father used to bring me here as a kid, and this one time we got to the theatre, it was locked. My dad pleaded with the security guard to let my brother and me into the premises, and he did. And he showed us around. The view was awe-inspiring. Whenever I think of the theatre after that experience, I think of family.  Writer's Review  It is a good place to go to get in touch with Nigerian art and culture.  Most common visitors  Art aficionados, families, tourists, expatriates and dignitaries.   ""National Theatre Today""- An old newspaper clipping from the '70s.","1,465",https://hotels.ng/places/hall/32-the-national-theatre
Azumini Blue River,Abia,River,"About Azumini Blue River  The Azumini Blue River is an exotic river in Nigeria that is surrounded by beauty and pleasantness. There is no river as clear as the Azumini river in Nigeria. &nbsp;Aptly named 'The Blue River', the Azumini Blue river has a name that is as exotic as it is thrilling. Found on the boundary between Abia state and Akwa Ibom, this river would have you staring deep into the soul of mother nature....and have her wink back. The crystal clear nature of the river and the cosy environment is welcoming to tourists.  The river is surrounded by a hill that gives it a breathtaking aura. Its clear nature affords you the opportunity to see a variety of fishes and water bodies in their beautiful nature.&nbsp;  Security  It is safe to visit the Blue River.  Things To Do At The Blue River  Here are a few things you can do at Azumini Blue River:   &nbsp; &bull; Canoe Riding  &nbsp;&bull; Beach Party  &nbsp;&bull;Picnicking  &nbsp;  &nbsp;  &nbsp;",7,https://hotels.ng/places/river/33-azumini-blue-river
Obudu Mountain Resort,Cross River,Resort,"About Obudu Mountain Resort  The Obudu Mountain Resort used to be called ""Obudu Cattle Ranch"". It is a ranch and resort located at Obudu Plateau, Cross River State. Obudu Mountain Resort is one of the most visited resorts in Nigeria, hosting both local and international guests yearly. The resort is home to rare species of birds and other animals such as the gorilla and drill monkey.&nbsp;  It matters little if you're a local or international tourist: Obudu Mountain Resort will welcome you with open arms. Come for the horse riding, the bird watching the sporting facilities, the natural swimming pool. Stay for the delightful accommodation and hotels. If you are a tourist who loves to be relaxed while taking on the gears of adventure, this resort is one of the best places to explore this part of you.&nbsp;  &nbsp;  Security  Obudu Mountain Resort provides adequate security for its guests.&nbsp;  Things To Do At Obudu Mountain Resort  Here are a few things you can do at the resort:  &nbsp; ◦ Canopy walk.  &nbsp; ◦ Use the cable car.  &nbsp; ◦ Explore the natural reserve.  &nbsp;",2,https://hotels.ng/places/resort/34-obudu-mountain-resort
The Long JuJu Shrine of Arochukwu,Abia,Shrine,"About The Long JuJu Shrine of Arochukwu  The Long JuJu Shrine of Arochukwu is located in one of the largest cities in Abia state, in Arochukwu otherwise called Aro-Okigbo. This shrine had a route for slaves that was used during the trans-Atlantic slave-trade era. The tales of Arochukwu have it that the long juju shrine also called Ibini Ukpabi, used to be a place of judgement where people entered when God (Chwuku) wanted to pronounce judgement on them. They were either found guilty or not guilty. Those found innocent remained alive and came back to their families while those that were guilty walked through dark tunnels and never came out.&nbsp;  The long juju slave route of Arochukwu still remains a perfect destination for tourists around the world. Interested in or a practitioner of traditional religion? The Long Juju Shrine of Arochukwu sports long metal pipes, believed to be conduits to the gods who live above the shrine. Pay homage to the chief priest, and it might make things easier on your path to fellowship with a higher power.  &nbsp;",12,https://hotels.ng/places/shrine/35-the-long-juju-shrine-of-arochukwu
Tinapa business resort,Cross River,Resort,"History of Tinapa business resort  Tinapa business resort was built in 2007 to promote tourism by Governor Donald Duke.  The first pan African business and leisure resort welcomes guests to come in and relax, enjoy our wide range of facilities and also enjoy the ambience of Calabar.  Security/Safety of Tinapa business resort  This is a very safe location.  What To Bring  Before heading to Tinapa business resort, here are some helpful things to take along with you:   Camera  Swimming gear   Things to do while at Tinapa business resort  Here are some things you can plan to do:   Visit studio Tinapa  Visit the casino, lake, theatres.   Best Features  It is a tourist haven  Most common visitors  Fun lovers, adventure seekers.",0,https://hotels.ng/places/resort/36-tinapa-business-resort
Ikeja city mall,Lagos,Mall,"About Ikeja city mall  Ikeja city mall was built in 2011 to allow mainlanders have fun without having to journey to the island. It was built by Broll property services in 2011.  Why go all the way to Shop rite at Lekki when City mall offers you that and even more. There is a cinema, there are restaurants and a whole lot of other interesting activities. What are you waiting for? Come join in the fun.  Security/Safety of Ikeja city mall  This is a very safe location.  What To Bring  Before heading to Ikeja city mall, here are some helpful things to take along with you:   Camera  Cash/debit cards   Things to do while at Ikeja city mall  These are things you can do at Ikeja City Mall:   See a movie  Get pizza, ice cream, chocolate  Hangout with friends and family  Take beautiful picture  Window shop or shop for real&nbsp;   Best Features  It is fun  Most common visitors  People looking to relax from the stress of work or school.",697,https://hotels.ng/places/mall/37-ikeja-city-mall
Lekki Leisure lake,Lagos,Beach,"&nbsp;  About Lekki Leisure Lake  Lekki Leisure Lake is a lakeside resort in the Lekki peninsula area with a magnificent view of the Atlantic. The resort is under the administration of Optima Leisure which is based in Lagos. Quad biking, Jet skiing, wave boat, pontoon boat and seaside relaxation are some of the activities that can be enjoyed at Lekki Laisure Lake.  Tourists, fun seekers, children are welcome. The resort also takes safety very seriously.  Safety  The resort is very safe but visitors are advised to stay away from the lakeside without proper supervision.  Things to Do  Jet skiing and Quad riding is just one of the numerous things to do at Lekki Lake Resort  What to Bring  Visitors can go with a camera to take pictures and have fun memories of the day. Having enough money at hand is also very important.  Best Features  Its flurry of activities makes it a favourite destination for guests.  Best Time to Visit Lekki Leisure Lake  It is best to visit the lake during the weekends when there are a lot of guests and a lot of activities.  Most Common Visitors  The most common visitors of the resort are families coming to have fun.  Why You Should Visit  You should visit to take in the magnificent view of the resort and also to take part in the numerous activities available at the resort.&nbsp;",385,https://hotels.ng/places/beach/38-lekki-leisure-lake
Jos wildlife park,Plateau,Zoo,"About Jos wildlife park  Jos wildlife park was built to preserve wildlife. Jos wildlife park is one of the largest man-made zoological gardens in the country and is home to a variety of animals ranging from monkeys, elephants, lions. The variety of wildlife and closeness to nature is one of the many reasons why tourists come from far and wide to visit. Everybody is welcome!  Security/Safety of Jos wildlife park  This is a very safe location.   don't try to feed the animals  don't leave without your guide.   What To Bring  Before heading to Jos wildlife park, here are some helpful things to take along with you:   camera  water bottles   Things to do while at Jos wildlife park  Here are a few things you can do at Jos wildlife park:   take pictures of wildlife  reconnect with mother nature",2,https://hotels.ng/places/zoo/39-jos-wildlife-park
Rojenny Tourist Village,Anambra,Play ground,"History of Rojenny Tourist Village  Rojenny Tourist Village was built in 1983-1986 by Chief Rommy Amandi Ezeonwuka. It is notable for its close resemblance to Disney world and its welcoming ambience.  Ever wanted to go Disneyland? Well, Rojenny tourist village gives you a taste of what it would be like with its wide range of games, swimming pool, zoo, recreational center, restaurant, hotels. Our wide range of facilities makes us a dream tourist site. Come in today!  Security/Safety of Rojenny Tourist Village  This is a very safe location.   don't leave your bags unattended to   What To Bring  Before heading to Rojenny Tourist Village, here are some helpful things to take along with you:   camera  swimming gear   Things to do while at Rojenny Tourist Village  Before heading to Rojenny Tourist Village, here are some helpful things to take along with you:   visit the zoo  enjoy the wide range of facilities available",17,https://hotels.ng/places/play-ground/40-rojenny-tourist-village
Oguta lake holiday complex,Imo,Nature,"History of Oguta lake holiday complex  Oguta lake holiday complex was built in the early 1960s as an exclusive getaway for colonial masters. It was built by the British colonial government.  Oguta lake with its clear blue color and non-salty taste, is the perfect holiday destination for splashing around, boat cruising and many more. The second largest lake in Nigeria welcomes fun seekers, tourists and adventure lovers.  Security/Safety of Oguta lake holiday complex  This is a very safe location.  What To Bring  Before heading to Oguta lake holiday complex, here are some helpful things to take along with you:   swimming gear  camera   Things to do while at Oguta lake holiday complex  Here are a few things you can do at Oguta lake holiday complex:   swim in the lake  boat Cruise  visit the golf course",2,https://hotels.ng/places/nature/41-oguta-lake-holiday-complex
Enemabia warm spring,Benue,Waterfall,"About Enemabia warm spring  Enemabia warm spring with its lush scenery is an exotic location for people who enjoy swimming, nature and adventure. It is the only warm natural spring in Benue state, which contributes to the attraction it gets from tourists.&nbsp; &nbsp;  Security/Safety of Enemabia warm spring  This is a very safe location.  What To Bring  Before heading to Enemabia warm spring, here are some helpful things to take along with you:   swimming gear  camera   Things to do while at Enemabia warm spring  Here are some things you can do at Enemabia warm spring:   swim in the lake  take pictures of the surroundings",1,https://hotels.ng/places/waterfall/42-enemabia-warm-spring
Port Harcourt Tourist beach,Rivers,Beach,"About Port Harcourt Tourist beach  Port Harcourt Tourist beach was built in 1988. It is a white sand beach and leisure hub in PortHacourt, Rivers state.  Serenaded by the beauty of Port Harcourt and in need of where to hang? The Port Harcourt Tourist Beach is the perfect destination for tourists and fun seekers with its white sands and cool ocean breeze. There is an historical center you can visit as a tourist when you are at this urban beach.  Security/Safety of Port Harcourt Tourist beach  This is a very safe location.  What To Bring  Before heading to Port Harcourt Tourist beach, here are some helpful things to take along with you:   water bottles  shorts  sandals",574,https://hotels.ng/places/beach/43-port-harcourt-tourist-beach
Benin city national museum,Edo,Museum,"History of Benin city national museum  Benin city national museum was built on August 10, 1973, by the National Commission for museums and monuments. It is located in the city centre on King's Square.  Benin national museum is home to priceless Benin art, history, antiques and other artefacts from around the country. Everyone is invited to come to learn and experience Benin culture.  Security/Safety of Benin city national museum  This is a very safe location.  Things to do while at Benin city national museum  You can do these at the Benin city national museum:   visit the terracotta sculptures  educate yourself about the Benin kingdom",16,https://hotels.ng/places/museum/44-benin-city-national-museum
Abraka Turf and Country Club,Delta,Club,"History of Abraka Turf and Country Club  Abraka Turf and Country Club.  Villas, chalets, golf courses, racing, kayaking are all indices of the club's willingness to provide leisure and exquisite services to either the vacation camper, fun lover or tourists.  Security/Safety of Abraka Turf and Country Club  This is a very safe location.   don't leave your guide.   What To Bring  Before heading to Abraka Turf and Country Club, here is something helpful to take along with you:   camping gear   Things to do while at Abraka Turf and Country Club  You can do these at Abraka Turf and Country Club:   visit the golf course  go fishing  participate in the polo tournament",1,https://hotels.ng/places/club/45-abraka-turf-and-country-club
Jhalobia Recreation Parks and Garden,Lagos,Resort,"History of Jhalobia Recreation Parks and Garden  Jhalobia Recreation Parks and Garden was built in 1998 to ensure that people could have an outdoor experience while connecting to nature. It is notable as an event center for picnics, weddings etc. It was built by Mrs. Veronica Adepoju in.  When man meets nature, the result is a beautiful garden and event center that caters to your needs whether you are a nature enthusiast, or you need a place for your wedding or other social events.  Security/Safety of Jhalobia Recreation Parks and Garden  This is a very safe location.  Things to do while at Jhalobia Recreation Parks and Garden  Here are things you can do while at Jhalobia Recreation Parks and Garden:   take pictures of the surroundings.  reconnect with nature  horse riding",373,https://hotels.ng/places/resort/46-jhalobia-recreation-parks-and-garden
"National War Museum, Umuahia",Abia,Museum,"History of National War Museum, Umuahia  National War Museum, Umuahia was established in 1985 with the aim of putting the ugly episode of the war behind and speeding up the process of national reconciliation and healing. It is notable as a sanctuary of the relics from the Biafran-Nigerian civil war that took place between 1967 and 1970.  Ever heard of Ogbunigwe? Want to know more about the Nigerian civil war? The National war museum is a sanctuary of both traditional and modern warfare and opens its doors far and wide to people seeking to know more about this portion of Nigerian history. The museum has three galleries that cover traditional warfare, the armed forces and the Nigerian Civil War weapon galleries.  Definitely worth your visit.  Security/Safety of National War Museum, Umuahia  This is a very safe location.  What To Bring  Before heading to National War Museum, Umuahia, here are some helpful things to take along with you:   camera- there is a lot of history waiting to be captured   Things to do while at National War Museum, Umuahia  These are things you can do at the National War Museum:   see the Biafran flag also known as 'half of a yellow sun'  visit the defunct radio Biafra",30,https://hotels.ng/places/museum/47-national-war-museum-umuahia
International Institute of Tropical Agriculture,Oyo,College,"About International Institute of Tropical Agriculture  International Institute of Tropical Agriculture.  Interested in Agricultural research? Or fun-seeking? The international institute of Tropical Agriculture provides an avenue for those seeking to have fun or for those interested in Agricultural research to explore their reasons. The International Institute of Tropical Agriculture (IITA), as a non-profit institution, works to create agricultural innovations that can provide solutions to Africa&rsquo;s most pressing challenges of hunger, malnutrition, poverty, and natural resource degradation.  The main focus of IITA is to ensure that there is food security for now and the future in many countries in Africa of which Nigeria is one. Agriculturists would fall in love with this place upon visiting.  Security/Safety of International Institute of Tropical Agriculture  This is a very safe location.  What To Bring  Before heading to the International Institute of Tropical Agriculture, here are some helpful things to take along with you:   camera  swimming gear  Relaxation gears   Things to do while at the International Institute of Tropical Agriculture  Here are things you can do at IITA:   bird watching  walking with the wild.",0,https://hotels.ng/places/college/48-international-institute-of-tropical-agriculture
